,gender,living_area,age,job,education,income,child,experience,card,visit_per_week,visit_per_month,visit_per_year,average_staying_time,with_whom,location,transportation,distance,weekday_hour,weekday_minute,weekend_hour,weekend_minute,weekday_reading_time,weekend_reading_time,total_reading_time,books_per_year,satisfaction,recommendation,present_use,future_use,churn
0,0,23,35,6,5,8,0,1,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0,0,2,0,2,30,120,150,270,7,1.0,1.0,1.0,1.0,0
1,0,23,31,6,4,5,0,0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,0,0,20,0,20,20,20,40,1,1.0,1.0,0.0,1.0,0
2,0,23,22,10,2,7,0,1,1.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,1,1,0,1,0,60,60,120,5,1.0,1.0,1.0,1.0,0
3,0,23,23,10,2,8,0,1,1.0,5.0,0.0,0.0,3.0,2.0,1.0,2.0,0,1,0,1,30,60,90,150,4,1.0,1.0,1.0,1.0,0
4,0,23,21,10,2,6,0,1,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1,1,30,2,0,90,120,210,7,1.0,1.0,1.0,1.0,0
5,1,23,64,6,5,9,1,1,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1,1,0,1,30,60,90,150,4,1.0,1.0,1.0,1.0,0
6,1,23,50,6,3,6,0,1,1.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,0,2,0,2,0,120,120,240,6,0.0,1.0,1.0,1.0,0
7,1,23,42,6,5,7,1,1,1.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,0,1,30,2,30,90,150,240,3,1.0,1.0,1.0,1.0,0
8,1,23,24,10,2,8,0,1,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1,2,0,3,0,120,180,300,8,1.0,1.0,1.0,1.0,0
9,0,23,75,2,3,5,1,1,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1,1,0,1,30,60,90,150,3,1.0,1.0,1.0,1.0,0
10,0,23,63,2,3,5,1,0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1,0,20,0,20,20,20,40,1,1.0,1.0,0.0,1.0,0
11,0,23,50,9,5,8,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,1,30,2,0,90,120,210,6,1.0,1.0,1.0,1.0,0
12,0,23,51,9,5,8,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,1,0,1,0,60,60,120,4,1.0,1.0,1.0,1.0,0
13,0,23,52,9,5,8,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,1,30,2,0,90,120,210,6,1.0,1.0,1.0,1.0,0
14,0,23,44,9,5,6,1,1,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0,1,0,1,30,60,90,150,4,1.0,1.0,1.0,1.0,0
15,0,23,42,9,4,6,1,1,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,0,1,0,2,0,60,120,180,4,1.0,1.0,1.0,1.0,0
16,0,23,43,9,5,6,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,1,30,2,0,90,120,210,2,1.0,1.0,1.0,1.0,0
17,0,23,30,10,5,10,0,1,1.0,3.0,0.0,0.0,3.0,4.0,2.0,2.0,0,1,30,2,0,90,120,210,7,1.0,1.0,1.0,1.0,0
18,0,23,26,6,3,6,0,1,0.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,0,0,30,0,30,30,30,60,2,1.0,1.0,1.0,1.0,0
19,0,23,23,10,2,8,0,1,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0,2,0,2,30,120,150,270,5,1.0,1.0,1.0,1.0,0
20,1,23,52,6,5,6,0,0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0,0,0,0,30,0,30,30,1,1.0,1.0,1.0,1.0,0
21,1,23,39,2,5,6,0,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0,1,0,1,30,60,90,150,3,1.0,1.0,0.0,1.0,0
22,1,23,41,6,5,5,0,0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,0,0,30,0,30,30,30,60,0,1.0,1.0,0.0,1.0,0
23,1,23,29,10,5,5,0,1,1.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0,1,30,2,0,90,120,210,6,1.0,1.0,1.0,1.0,0
24,1,23,41,6,5,6,0,1,1.0,0.0,3.0,0.0,1.0,4.0,1.0,2.0,0,1,0,1,30,60,90,150,1,1.0,1.0,1.0,1.0,0
25,1,23,44,6,5,6,0,1,1.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,0,1,0,2,0,60,120,180,6,1.0,1.0,1.0,1.0,0
26,1,23,23,10,2,7,0,1,1.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,1,3,0,3,0,180,180,360,5,1.0,1.0,1.0,1.0,0
27,1,23,23,10,2,6,0,1,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0,2,0,1,0,120,60,180,4,1.0,1.0,1.0,1.0,0
28,1,23,23,10,2,8,0,1,1.0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,1,1,30,2,0,90,120,210,5,1.0,1.0,1.0,1.0,0
29,0,23,75,9,3,6,1,0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,0,2,0,2,0,120,120,240,3,1.0,1.0,0.0,1.0,0
30,0,23,68,9,3,4,1,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0,3,0,2,0,180,120,300,6,1.0,1.0,1.0,1.0,0
31,0,23,67,2,3,7,1,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1,3,0,3,0,180,180,360,6,1.0,1.0,0.0,1.0,0
32,0,23,58,2,3,6,1,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1,1,0,1,30,60,90,150,1,1.0,1.0,0.0,1.0,0
33,0,23,60,2,3,6,1,1,1.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,1,0,30,1,0,30,60,90,3,1.0,1.0,1.0,1.0,0
34,0,23,64,2,3,7,1,0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1,0,30,2,0,30,120,150,5,1.0,1.0,0.0,1.0,0
35,0,23,52,9,5,8,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,1,0,1,0,60,60,120,5,1.0,1.0,1.0,1.0,0
36,0,23,48,8,5,5,1,0,1.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0,0,1,30,2,0,90,120,210,4,1.0,1.0,1.0,1.0,0
37,0,23,45,9,5,5,1,1,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1,1,0,1,0,60,60,120,3,1.0,1.0,1.0,1.0,0
38,0,23,45,9,3,6,1,1,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,30,0,30,30,30,60,8,1.0,1.0,1.0,1.0,0
39,0,23,31,10,5,7,0,1,1.0,3.0,0.0,0.0,2.0,4.0,2.0,2.0,0,3,0,3,0,180,180,360,7,1.0,1.0,1.0,1.0,0
40,0,23,25,10,2,5,0,1,1.0,0.0,4.0,0.0,2.0,2.0,1.0,2.0,0,3,0,3,0,180,180,360,7,1.0,1.0,1.0,1.0,0
41,1,23,69,6,3,5,1,0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0,1,0,1,0,60,60,120,3,1.0,1.0,0.0,1.0,0
42,1,23,73,12,3,3,1,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0,0,10,0,10,10,10,20,1,1.0,1.0,0.0,1.0,0
43,1,23,71,2,3,5,1,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1,0,30,0,30,30,30,60,0,1.0,1.0,0.0,1.0,0
44,1,23,67,2,5,7,1,1,1.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,1,2,0,2,0,120,120,240,5,1.0,1.0,1.0,1.0,0
45,1,23,61,2,5,6,1,0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0,2,0,2,0,120,120,240,1,1.0,1.0,1.0,1.0,0
46,1,23,61,2,3,5,1,1,1.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,0,1,0,2,0,60,120,180,3,1.0,1.0,1.0,1.0,0
47,1,23,73,2,3,5,1,1,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1,1,0,1,0,60,60,120,3,1.0,1.0,1.0,1.0,0
48,1,23,65,2,3,6,1,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1,0,30,0,30,30,30,60,1,1.0,1.0,1.0,1.0,0
49,1,23,48,2,3,4,0,0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0,0,30,0,30,30,30,60,1,1.0,1.0,1.0,1.0,0
50,1,23,48,2,3,5,0,1,0.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,1,0,30,0,30,30,30,60,2,1.0,1.0,1.0,1.0,0
51,1,23,52,2,4,5,1,1,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1,1,0,1,0,60,60,120,6,1.0,1.0,1.0,1.0,0
52,1,23,23,10,2,7,0,1,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,0,2,0,2,0,120,120,240,4,1.0,1.0,1.0,1.0,0
53,1,23,27,10,3,6,0,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0,1,0,1,0,60,60,120,1,1.0,1.0,0.0,1.0,0
54,1,23,26,10,3,6,0,1,1.0,2.0,0.0,0.0,3.0,4.0,2.0,2.0,0,1,0,1,30,60,90,150,4,1.0,1.0,1.0,1.0,0
55,1,23,32,10,5,6,0,1,1.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0,0,1,0,1,0,60,60,120,2,1.0,1.0,1.0,1.0,0
56,1,23,28,10,3,6,0,1,1.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0,0,2,0,2,0,120,120,240,4,1.0,1.0,1.0,1.0,0
57,1,23,28,3,3,6,0,0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0
58,1,23,30,10,3,14,0,1,1.0,0.0,3.0,0.0,3.0,4.0,1.0,1.0,1,0,0,1,0,0,60,60,6,1.0,1.0,1.0,1.0,0
59,1,23,45,3,3,9,1,1,1.0,0.0,1.0,0.0,4.0,4.0,1.0,4.0,0,0,10,0,40,10,40,50,8,1.0,1.0,1.0,1.0,0
60,1,23,25,10,2,10,0,1,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1,0,30,0,0,30,0,30,7,1.0,1.0,1.0,1.0,0
61,1,23,29,3,3,9,0,0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1,0,30,0,0,30,0,30,5,1.0,1.0,0.0,1.0,0
62,1,23,52,3,5,11,0,0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,2.0,0,0,20,0,0,20,0,20,1,1.0,1.0,1.0,1.0,0
63,1,23,60,2,3,9,1,0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1,0,0,0,30,0,30,30,1,0.0,0.0,1.0,1.0,0
64,1,23,69,2,3,11,1,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0
65,0,23,57,2,3,8,1,1,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1,0,0,0,20,0,20,20,2,1.0,1.0,1.0,1.0,0
66,0,23,44,6,5,11,1,1,1.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,0,0,30,0,0,30,0,30,5,1.0,1.0,1.0,1.0,0
67,1,23,75,2,5,11,1,1,1.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,1,1,0,0,0,60,0,60,2,1.0,1.0,1.0,1.0,0
68,1,23,63,6,3,11,1,0,1.0,0.0,8.0,0.0,6.0,4.0,2.0,2.0,0,1,0,0,0,60,0,60,4,1.0,1.0,1.0,1.0,0
69,0,23,55,9,3,11,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,0,40,0,30,40,30,70,6,1.0,1.0,1.0,1.0,0
70,0,23,78,9,2,8,1,0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1,0,30,0,0,30,0,30,2,1.0,1.0,1.0,1.0,0
71,1,23,73,4,2,6,1,0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0
72,1,23,82,2,3,8,1,0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1,0,30,0,0,30,0,30,1,1.0,1.0,0.0,1.0,0
73,1,23,50,3,5,9,1,0,1.0,0.0,0.0,5.0,3.0,4.0,1.0,3.0,0,0,0,1,0,0,60,60,5,1.0,1.0,0.0,1.0,0
74,0,23,60,2,3,9,1,1,1.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,0,0,30,0,0,30,0,30,3,1.0,1.0,1.0,1.0,0
75,0,23,22,10,2,10,0,1,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,30,0,30,30,30,60,8,1.0,1.0,1.0,1.0,0
76,1,23,44,3,5,9,1,0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1,0,0,0,30,0,30,30,3,1.0,1.0,1.0,1.0,0
77,0,23,24,10,2,11,0,1,1.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,1,0,20,0,0,20,0,20,1,1.0,1.0,1.0,1.0,0
78,0,23,23,10,2,13,0,1,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1,0,0,1,0,0,60,60,6,1.0,1.0,1.0,1.0,0
79,1,23,22,10,1,11,0,1,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,40,1,0,40,60,100,8,1.0,1.0,1.0,1.0,0
80,1,23,23,10,2,11,0,1,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1,0,30,0,0,30,0,30,3,1.0,1.0,1.0,1.0,0
81,0,23,28,3,3,8,0,0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,0,0,10,0,10,10,1,0.0,1.0,0.0,1.0,0
82,0,23,34,6,5,11,0,0,1.0,0.0,4.0,0.0,6.0,2.0,2.0,1.0,0,0,10,0,20,10,20,30,7,1.0,1.0,1.0,1.0,0
83,0,23,35,6,5,12,0,0,1.0,5.0,0.0,0.0,6.0,4.0,1.0,1.0,1,0,0,0,30,0,30,30,5,1.0,1.0,1.0,1.0,0
84,1,23,22,10,1,8,0,1,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,30,0,30,30,30,60,5,1.0,1.0,1.0,1.0,0
85,0,23,43,9,5,9,1,1,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0,0,0,0,30,0,30,30,6,1.0,1.0,1.0,1.0,0
86,0,23,59,4,3,11,1,1,1.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,0,0,20,0,0,20,0,20,2,1.0,1.0,1.0,1.0,0
87,1,23,59,4,3,8,1,0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,21.0,0,0,0,0,10,0,10,10,1,1.0,1.0,0.0,1.0,0
88,0,23,51,4,3,9,1,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1,0,0,0,20,0,20,20,3,1.0,1.0,1.0,1.0,0
89,0,23,52,6,5,12,1,0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0,0,0,1,0,0,60,60,1,1.0,1.0,0.0,1.0,0
90,0,23,54,3,5,9,1,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,20,0,30,20,30,50,3,1.0,1.0,1.0,1.0,0
91,0,23,35,6,5,12,0,1,1.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,0,0,30,2,0,30,120,150,7,1.0,1.0,1.0,1.0,0
92,0,23,71,2,3,9,1,0,1.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0
93,1,23,51,6,5,12,1,0,1.0,0.0,0.0,4.0,2.0,4.0,1.0,4.0,0,0,0,1,0,0,60,60,6,1.0,1.0,1.0,1.0,0
94,1,23,44,3,5,9,0,0,1.0,0.0,0.0,4.0,1.0,4.0,2.0,3.0,0,0,10,0,10,10,10,20,3,1.0,1.0,0.0,1.0,0
95,1,23,40,6,5,9,0,0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,2.0,0,0,0,0,20,0,20,20,4,1.0,1.0,1.0,1.0,0
96,0,23,60,2,5,11,1,0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0
97,1,23,58,2,3,11,1,0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1,0,30,0,30,30,30,60,4,1.0,1.0,0.0,1.0,0
98,0,23,60,2,5,11,1,0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0
99,0,23,23,10,2,10,0,1,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1,0,30,0,30,30,30,60,4,1.0,1.0,1.0,1.0,0
100,1,23,25,10,2,13,0,1,1.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,20,1,0,20,60,80,3,1.0,1.0,1.0,1.0,0
101,0,23,43,3,5,9,1,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,0,0,30,0,0,30,0,30,4,1.0,1.0,1.0,1.0,0
102,1,23,39,6,5,9,0,0,1.0,0.0,4.0,0.0,4.0,4.0,2.0,1.0,0,0,30,0,0,30,0,30,8,1.0,1.0,1.0,1.0,0
103,0,23,41,6,5,11,0,1,1.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,0,0,30,1,0,30,60,90,7,1.0,1.0,1.0,1.0,0
104,0,23,45,9,5,9,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0,0,30,0,30,30,30,60,7,1.0,1.0,1.0,1.0,0
105,0,23,30,10,3,14,0,1,1.0,0.0,3.0,0.0,6.0,2.0,2.0,2.0,0,0,0,2,0,0,120,120,7,1.0,1.0,1.0,1.0,0
106,0,23,52,2,5,11,1,1,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1,0,30,0,40,30,40,70,4,1.0,1.0,1.0,1.0,0
107,1,23,35,6,5,14,0,0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1,0,0,1,0,0,60,60,8,1.0,1.0,0.0,1.0,0
108,0,23,23,10,2,10,0,1,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1,0,20,0,40,20,40,60,3,1.0,1.0,1.0,1.0,0
109,0,24,33,3,5,9,0,1,1.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,1,0,20,1,0,20,60,80,5,1.0,1.0,1.0,1.0,0
110,0,24,33,6,5,9,0,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1,0,0,2,0,0,120,120,3,1.0,1.0,1.0,1.0,0
111,0,24,64,3,3,11,1,0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0,0,2,0,2,0,120,120,240,1,1.0,1.0,0.0,1.0,0
112,0,24,54,6,5,11,1,1,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,0,0,2,0,0,120,120,3,1.0,1.0,1.0,1.0,0
113,0,24,37,6,5,9,1,1,1.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,1,0,0,1,0,0,60,60,4,1.0,1.0,1.0,1.0,0
114,0,24,53,6,5,11,1,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1,1,0,1,0,60,60,120,4,1.0,1.0,1.0,1.0,0
115,1,24,65,6,3,11,1,0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,0,1,0,1,0,60,60,120,3,1.0,1.0,0.0,1.0,0
116,1,24,52,6,5,9,1,1,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1,1,0,1,30,60,90,150,4,1.0,1.0,1.0,1.0,0
117,0,24,59,3,5,8,1,0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1,0,0,1,30,0,90,90,1,1.0,1.0,1.0,1.0,0
118,1,24,75,4,3,5,1,0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1,0,0,1,0,0,60,60,2,1.0,1.0,1.0,1.0,0
119,1,24,24,10,2,12,0,0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,1.0,1,0,0,3,0,0,180,180,6,1.0,1.0,0.0,1.0,0
120,0,24,69,3,4,10,1,0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0,0,0,2,0,0,120,120,1,1.0,1.0,0.0,1.0,0
121,1,24,54,6,5,9,1,1,1.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,1,1,0,1,0,60,60,120,4,1.0,1.0,1.0,1.0,0
122,1,24,71,2,5,9,1,0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0,0,2,0,2,0,120,120,240,1,1.0,1.0,1.0,1.0,0
123,1,24,24,10,2,11,0,1,0.0,0.0,1.0,0.0,6.0,2.0,2.0,2.0,0,0,50,0,0,50,0,50,5,1.0,1.0,1.0,1.0,0
124,0,24,41,6,5,11,1,0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,3.0,0,0,0,0,30,0,30,30,2,1.0,0.0,0.0,0.0,1
125,1,24,51,6,5,10,1,0,0.0,0.0,0.0,6.0,4.0,4.0,1.0,1.0,1,0,0,2,0,0,120,120,4,1.0,0.0,0.0,0.0,1
126,0,24,24,10,2,14,0,1,0.0,0.0,0.0,5.0,2.0,2.0,1.0,1.0,1,0,30,2,0,30,120,150,5,1.0,1.0,1.0,1.0,0
127,1,24,23,10,2,11,0,0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1,0,20,0,30,20,30,50,8,1.0,0.0,0.0,1.0,0
128,0,24,57,2,3,9,1,1,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1,0,20,0,0,20,0,20,2,1.0,1.0,1.0,1.0,0
129,0,24,24,10,2,14,0,1,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0,0,0,1,0,0,60,60,3,1.0,1.0,1.0,1.0,0
130,1,24,73,6,5,13,1,0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0,0,0,0,1,0,0,60,60,2,1.0,1.0,0.0,1.0,0
131,1,24,63,6,5,11,1,1,0.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,1,0,0,1,0,0,60,60,2,1.0,1.0,1.0,1.0,0
132,0,24,24,10,2,8,0,1,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1,0,0,3,0,0,180,180,8,1.0,1.0,1.0,1.0,0
133,1,24,40,6,4,8,0,1,1.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,0,1,0,2,0,60,120,180,6,0.0,1.0,1.0,1.0,0
134,0,24,72,4,3,12,1,0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,1,0,0,1,0,0,60,60,2,1.0,0.0,1.0,1.0,0
